novel,token,count,suggested_category,chapter_number,sentence_number,context_snippet
noli,macabalic,2,A,13,13-3,—¡Hindi itinulot ng aking sakit at ng aking mga pinangangasiwaang ako'y macabalic dito!...
noli,iguinuhit,2,B,13,13-29,—at iguinuhit ng alila sa lupa ang isang anyong cruz bizantina....
noli,hucayi't,2,B,13,13-57,marami ng buwan ang nacaraan mula ng siya'y aking hucayi't cuning uli sa baunan....
noli,tinatahac,2,B,13,13-67,"—ang sinabi, at umalis na dalidaling tinatahac ang mga buto, mga hucay, mga cruz, na parang isang si..."
noli,caligaligan,2,B,13,13-69,—¡Ang guinagawang mga caligaligan ng mga patay!...
noli,Naliliguid,2,B,13,13-78,"Naliliguid ang bahay na iyon ng pader na sinisibulan ng mga damong macacapal ang dahon, tila mandin ..."
noli,pinatiguil,2,B,13,13-85,"Sandalingsandali lamang tumagal ang pag-aalinlangan: malicsing linapitan siya ni Ibarra, pinatiguil ..."
noli,Naglalacad,2,B,14,14-1,Naglalacad sa mga lansangang walang tinutungo't walang iniisip ang cacaibang matandang lalaki....
noli,Natatacot,2,B,14,14-3,"Natatacot ang mabait na babaeng maguing pantas ang kanyang anak at macalimot sa Dios, kaya nga't siy..."
noli,macalimot,2,A,14,14-3,"Natatacot ang mabait na babaeng maguing pantas ang kanyang anak at macalimot sa Dios, kaya nga't siy..."
noli,aacala,2,B,14,14-18,¿Nag-aacala ba kayong maligo?...
noli,nacatitisod,2,B,14,14-21,"¡hindi masama, lalong lalo na pagka nacatitisod ng isang dumi!..."
noli,icawalong,2,B,14,14-46,—¡Aayaw po caming paalisin ng sacristan mayor hanggang hindi tumutugtog ang icawalong horas—ang sago...
noli,pinacamatanda,2,B,14,14-46,—¡Aayaw po caming paalisin ng sacristan mayor hanggang hindi tumutugtog ang icawalong horas—ang sago...
noli,coro,2,B,14,14-54,"Umalis sa simbahan, pagkatapos na masundan ng isang titig na may habag ang dalawang batang pumapanhi..."
noli,Kinuscos,2,B,14,14-55,"Kinuscos ni Tasio ang mga mata, tumingin uli sa langit at bumulong: —Ngayo'y daramdamin kong mahulog..."
noli,cumatha,2,B,14,14-67,"—ang wica ng matandang lalaki sa sarisaring ""tono"" ng voces, samantalang pumapasoc sa bahay;—totoong..."
noli,calolowa'y,2,B,14,14-88,—ang isinagot ng babaeng taglay ang tunay na pagpipighati;—casabihang hanggang sa icasampong oras ng...
noli,catimbang,2,B,14,14-88,—ang isinagot ng babaeng taglay ang tunay na pagpipighati;—casabihang hanggang sa icasampong oras ng...
